City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Eyl,SO,7.9803,49.8164,75.27,68,52,19.06,broken clouds,2022-02-14 19:28:40
1,Daru,PG,-9.0763,143.2092,78.87,79,83,6.93,broken clouds,2022-02-14 19:28:40
2,Urdoma,RU,61.7533,48.5442,20.75,94,100,8.16,overcast clouds,2022-02-14 19:28:40
3,Paka,MY,4.6374,103.4368,78.73,94,96,2.3,overcast clouds,2022-02-14 19:28:41
4,Norman Wells,CA,65.282,-126.8329,-16.56,63,75,19.57,broken clouds,2022-02-14 19:28:41
5,Xining,CN,36.6167,101.7667,12.52,73,0,2.04,clear sky,2022-02-14 19:28:41
6,Zhigansk,RU,66.7697,123.3711,-39.01,99,35,3.67,scattered clouds,2022-02-14 19:28:42
7,Dikson,RU,73.5069,80.5464,-3.24,90,100,18.97,overcast clouds,2022-02-14 19:28:42
8,Ust-Tsilma,RU,65.441,52.1498,15.44,92,100,9.95,overcast clouds,2022-02-14 19:28:42
9,Juneau,US,58.3019,-134.4197,34.84,94,75,0.0,broken clouds,2022-02-14 19:24:46
10,Constitucion,CL,-35.3333,-72.4167,67.33,67,7,10.27,clear sky,2022-02-14 19:28:43
11,Victoria,HK,22.2855,114.1577,62.65,83,100,10.0,overcast clouds,2022-02-14 19:24:16
12,Port Augusta,AU,-32.5,137.7667,81.72,63,99,12.28,overcast clouds,2022-02-14 19:28:43
13,Jamestown,US,42.097,-79.2353,19.09,49,100,13.8,overcast clouds,2022-02-14 19:25:05
14,Ushuaia,AR,-54.8,-68.3,53.26,40,40,18.41,scattered clouds,2022-02-14 19:28:44
15,Butaritari,KI,3.0707,172.7902,82.06,74,35,17.25,light rain,2022-02-14 19:28:44
16,Barrow,US,71.2906,-156.7887,-25.58,62,100,8.05,overcast clouds,2022-02-14 19:26:52
17,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,100,14.16,overcast clouds,2022-02-14 19:28:44
18,Punta Arenas,CL,-53.15,-70.9167,53.71,54,100,16.11,light rain,2022-02-14 19:25:16
19,Ulety,RU,51.3572,112.4849,-18.9,98,54,2.1,broken clouds,2022-02-14 19:28:45
20,Souillac,MU,-20.5167,57.5167,81.36,94,40,11.5,light rain,2022-02-14 19:28:45
21,Srednekolymsk,RU,67.45,153.6833,-33.09,99,34,6.29,scattered clouds,2022-02-14 19:28:45
22,Ponta Do Sol,PT,32.6667,-17.1,63.72,81,95,4.18,overcast clouds,2022-02-14 19:28:46
23,Rikitea,PF,-23.1203,-134.9692,78.44,68,91,9.42,overcast clouds,2022-02-14 19:28:46
24,Saldanha,ZA,-33.0117,17.9442,84.25,72,0,4.52,clear sky,2022-02-14 19:28:46
25,Hermanus,ZA,-34.4187,19.2345,71.8,80,0,16.04,clear sky,2022-02-14 19:28:47
26,Galle,LK,6.0367,80.217,78.6,80,81,7.47,broken clouds,2022-02-14 19:28:47
27,Kapaa,US,22.0752,-159.319,74.19,74,20,6.91,few clouds,2022-02-14 19:28:47
28,Lebu,CL,-37.6167,-73.65,64.94,72,1,9.35,clear sky,2022-02-14 19:28:48
29,Cidreira,BR,-30.1811,-50.2056,80.49,40,0,10.85,clear sky,2022-02-14 19:28:48
30,Ponta Delgada,PT,37.7333,-25.6667,62.51,63,20,4.61,few clouds,2022-02-14 19:28:48
31,Port Elizabeth,ZA,-33.918,25.5701,68.29,77,100,14.97,overcast clouds,2022-02-14 19:27:12
32,Wattegama,LK,6.7989,81.4808,70.95,82,93,4.63,overcast clouds,2022-02-14 19:28:49
33,Rafaela,AR,-31.2503,-61.4867,97.05,23,0,1.99,clear sky,2022-02-14 19:28:49
34,Busselton,AU,-33.65,115.3333,67.05,74,0,13.62,clear sky,2022-02-14 19:28:49
35,Port Alfred,ZA,-33.5906,26.891,70.23,79,100,23.26,overcast clouds,2022-02-14 19:28:50
36,Naze,JP,28.3667,129.4833,55.36,67,0,10.58,clear sky,2022-02-14 19:28:50
37,Kaitangata,NZ,-46.2817,169.8464,50.32,80,100,4.0,overcast clouds,2022-02-14 19:28:50
38,Gizo,SB,-8.103,156.8419,81.0,79,100,4.56,light rain,2022-02-14 19:25:09
39,Hilo,US,19.7297,-155.09,72.25,81,75,4.0,broken clouds,2022-02-14 19:28:51
40,Bezhanitsy,RU,56.9767,29.8907,31.77,82,100,11.9,overcast clouds,2022-02-14 19:28:51
41,Nome,US,64.5011,-165.4064,-2.13,55,0,9.22,clear sky,2022-02-14 19:28:11
42,Cody,US,44.5263,-109.0565,53.82,25,0,13.0,clear sky,2022-02-14 19:27:39
43,Champerico,GT,14.3,-91.9167,90.14,59,6,11.45,clear sky,2022-02-14 19:28:52
44,Japura,ID,-0.3167,102.35,73.87,98,62,2.73,broken clouds,2022-02-14 19:28:52
45,Coruripe,BR,-10.1256,-36.1756,84.2,60,100,15.1,overcast clouds,2022-02-14 19:28:52
46,Atuona,PF,-9.8,-139.0333,78.91,66,8,16.35,clear sky,2022-02-14 19:28:52
47,Kapoeta,SS,4.7717,33.5903,89.46,23,11,4.47,few clouds,2022-02-14 19:28:53
48,Meulaboh,ID,4.1363,96.1285,76.26,88,100,4.56,overcast clouds,2022-02-14 19:28:53
49,Mataura,NZ,-46.1927,168.8643,50.49,90,100,2.08,overcast clouds,2022-02-14 19:28:54
50,Shingu,JP,33.7333,135.9833,40.91,79,16,3.49,few clouds,2022-02-14 19:28:54
51,Georgetown,MY,5.4112,100.3354,78.73,94,40,4.61,scattered clouds,2022-02-14 19:27:54
52,Ekhabi,RU,53.5102,142.9671,-10.8,98,84,14.14,broken clouds,2022-02-14 19:28:54
53,Lavrentiya,RU,65.5833,-171.0,-18.26,95,34,7.7,scattered clouds,2022-02-14 19:28:55
54,Asyut,EG,27.181,31.1837,58.39,45,0,10.56,clear sky,2022-02-14 19:28:55
55,Mahebourg,MU,-20.4081,57.7,81.25,94,40,11.5,scattered clouds,2022-02-14 19:28:55
56,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,70,20,16.11,few clouds,2022-02-14 19:27:21
57,Bandar-E Lengeh,IR,26.5579,54.8807,69.89,63,0,7.67,clear sky,2022-02-14 19:28:56
58,Henties Bay,NA,-22.116,14.2845,75.85,81,17,2.57,few clouds,2022-02-14 19:28:56
59,Castro,BR,-24.7911,-50.0119,77.41,68,11,6.87,few clouds,2022-02-14 19:27:31
60,Haines Junction,CA,60.7522,-137.5108,6.75,85,100,0.0,overcast clouds,2022-02-14 19:28:56
61,Provideniya,RU,64.3833,-173.3,-10.28,91,100,12.08,overcast clouds,2022-02-14 19:28:57
62,Pauini,BR,-7.7136,-66.9764,75.76,92,100,2.21,moderate rain,2022-02-14 19:28:57
63,Bluff,NZ,-46.6,168.3333,50.81,88,100,10.69,overcast clouds,2022-02-14 19:28:57
64,Koungou,YT,-12.7336,45.2042,80.31,83,0,5.75,clear sky,2022-02-14 19:28:58
65,Harper,LR,4.375,-7.7169,79.14,80,64,3.11,light rain,2022-02-14 19:28:58
66,Tazovskiy,RU,67.4667,78.7,-13.38,99,76,9.93,broken clouds,2022-02-14 19:28:58
67,East London,ZA,-33.0153,27.9116,69.51,82,100,15.14,light rain,2022-02-14 19:28:59
68,Kayerkan,RU,69.3497,87.7602,-10.55,87,60,7.81,broken clouds,2022-02-14 19:28:59
69,Saskylakh,RU,71.9167,114.0833,-17.99,90,96,4.03,overcast clouds,2022-02-14 19:28:59
70,Verkhnyaya Toyma,RU,62.2349,44.9985,26.22,96,100,7.34,light snow,2022-02-14 19:29:00
71,Chuy,UY,-33.6971,-53.4616,81.14,40,0,11.39,clear sky,2022-02-14 19:29:00
72,Jackson,US,42.4165,-122.8345,53.47,54,75,11.5,broken clouds,2022-02-14 19:24:57
73,Nara,JP,34.6851,135.8049,39.97,76,0,2.68,clear sky,2022-02-14 19:29:01
74,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,20,0.0,few clouds,2022-02-14 19:29:01
75,Ranong,TH,9.9658,98.6348,78.71,86,100,5.73,overcast clouds,2022-02-14 19:29:01
76,Nowa Deba,PL,50.4297,21.7508,37.9,75,5,11.83,clear sky,2022-02-14 19:29:02
77,Anzio,IT,41.4853,12.6179,54.73,84,100,13.2,overcast clouds,2022-02-14 19:28:51
78,Dingle,PH,10.9995,122.6711,73.45,91,100,6.35,overcast clouds,2022-02-14 19:29:02
79,Manbij,SY,36.5281,37.9549,45.37,88,4,11.01,clear sky,2022-02-14 19:29:02
80,Ilulissat,GL,69.2167,-51.1,-16.37,99,100,5.3,overcast clouds,2022-02-14 19:29:03
81,Cape Town,ZA,-33.9258,18.4232,78.12,61,0,10.36,clear sky,2022-02-14 19:25:54
82,Ancud,CL,-41.8697,-73.8203,77.23,61,9,10.36,clear sky,2022-02-14 19:29:03
83,Valdosta,US,30.8327,-83.2785,58.91,22,0,9.22,clear sky,2022-02-14 19:29:03
84,Albany,US,42.6001,-73.9662,19.81,35,73,10.0,broken clouds,2022-02-14 19:24:55
85,San Carlos,VE,9.6612,-68.5827,97.65,28,61,1.21,broken clouds,2022-02-14 19:29:04
86,Yellowknife,CA,62.456,-114.3525,-9.58,82,75,5.75,light snow,2022-02-14 19:29:04
87,Avera,US,33.194,-82.5271,56.91,30,0,12.75,clear sky,2022-02-14 19:29:04
88,Hobart,AU,-42.8794,147.3294,61.02,92,75,10.36,broken clouds,2022-02-14 19:29:05
89,Vaini,TO,-21.2,-175.2,78.96,89,20,4.61,few clouds,2022-02-14 19:29:05
90,Lompoc,US,34.6391,-120.4579,79.12,92,40,5.75,scattered clouds,2022-02-14 19:29:05
91,Port Blair,IN,11.6667,92.75,73.44,94,20,0.0,mist,2022-02-14 19:29:06
92,Fortuna,US,40.5982,-124.1573,54.93,90,100,6.91,overcast clouds,2022-02-14 19:29:06
93,Vostok,RU,46.4856,135.8833,9.03,95,100,3.76,overcast clouds,2022-02-14 19:29:06
94,Longyearbyen,SJ,78.2186,15.6401,15.64,79,75,9.22,light snow,2022-02-14 19:29:07
95,Lesnikovo,RU,55.2822,65.3175,-6.65,100,92,4.76,overcast clouds,2022-02-14 19:29:07
96,Hashtrud,IR,37.4779,47.0508,8.44,94,7,1.9,clear sky,2022-02-14 19:29:07
97,Artyom,AZ,40.4723,50.333,44.74,68,100,14.81,overcast clouds,2022-02-14 19:29:08
98,Fort-Shevchenko,KZ,44.5086,50.263,35.31,66,25,5.55,scattered clouds,2022-02-14 19:29:08
99,Bandarbeyla,SO,9.4942,50.8122,75.83,69,89,19.64,overcast clouds,2022-02-14 19:29:08
100,Ozernovskiy,RU,51.5,156.5167,23.4,80,100,4.05,overcast clouds,2022-02-14 19:29:09
101,Bredasdorp,ZA,-34.5322,20.0403,71.28,73,56,21.85,broken clouds,2022-02-14 19:29:09
102,Goulburn,AU,-34.75,149.7167,54.59,91,0,3.04,clear sky,2022-02-14 19:29:09
103,Pekan,MY,3.4836,103.3996,75.31,88,35,1.48,scattered clouds,2022-02-14 19:29:10
104,San Patricio,US,28.017,-97.5169,70.21,34,0,9.31,clear sky,2022-02-14 19:29:10
105,Abbeville,FR,50.1,1.8333,46.36,90,90,9.93,overcast clouds,2022-02-14 19:29:10
106,Adre,TD,13.4667,22.2,74.16,15,23,9.22,few clouds,2022-02-14 19:29:11
107,Tuatapere,NZ,-46.1333,167.6833,50.83,81,100,3.33,overcast clouds,2022-02-14 19:29:11
108,Bengkulu,ID,-3.8004,102.2655,75.72,86,100,3.29,overcast clouds,2022-02-14 19:29:11
109,Bubaque,GW,11.2833,-15.8333,79.2,67,7,15.7,clear sky,2022-02-14 19:29:12
110,Martapura,ID,-3.4167,114.85,75.29,100,20,1.14,few clouds,2022-02-14 19:29:12
111,Kandalaksha,RU,67.162,32.4123,7.97,93,19,4.5,few clouds,2022-02-14 19:29:12
112,Abnub,EG,27.2696,31.1511,58.41,46,0,10.27,clear sky,2022-02-14 19:29:12
113,Nanortalik,GL,60.1432,-45.2371,15.01,67,63,43.93,broken clouds,2022-02-14 19:29:13
114,Palmer,US,42.1584,-72.3287,22.64,37,20,17.27,few clouds,2022-02-14 19:29:13
115,Pundaguitan,PH,6.3711,126.1689,80.31,79,46,12.44,scattered clouds,2022-02-14 19:29:14
116,Narsaq,GL,60.9167,-46.05,14.22,66,63,17.85,broken clouds,2022-02-14 19:29:14
117,Carnarvon,AU,-24.8667,113.6333,78.87,89,6,5.75,clear sky,2022-02-14 19:29:14
118,Kavieng,PG,-2.5744,150.7967,82.27,75,72,7.61,broken clouds,2022-02-14 19:29:15
119,Kaeo,NZ,-35.1,173.7833,59.32,94,5,5.39,clear sky,2022-02-14 19:29:15
120,Lamar,US,33.6668,-95.5836,71.37,19,0,13.8,clear sky,2022-02-14 19:29:15
121,Sindor,RU,62.8629,51.8905,18.99,94,100,8.79,light snow,2022-02-14 19:29:16
122,Inhambane,MZ,-23.865,35.3833,76.98,83,40,5.75,scattered clouds,2022-02-14 19:29:16
123,Antofagasta,CL,-23.65,-70.4,75.22,62,25,10.56,scattered clouds,2022-02-14 19:29:16
124,Thompson,CA,55.7435,-97.8558,-12.84,58,0,3.44,clear sky,2022-02-14 19:29:17
125,Coquimbo,CL,-29.9533,-71.3436,71.33,60,0,14.97,clear sky,2022-02-14 19:29:17
126,Abu Dhabi,AE,24.4667,54.3667,69.91,68,0,5.75,clear sky,2022-02-14 19:29:17
127,Laguna,US,38.421,-121.4238,73.65,77,0,11.5,haze,2022-02-14 19:29:18
128,Itupiranga,BR,-5.1347,-49.3267,89.92,64,88,1.81,overcast clouds,2022-02-14 19:29:18
129,Yantzaza,EC,-3.8278,-78.7594,81.97,65,58,2.21,light rain,2022-02-14 19:29:18
130,Rio Grande,BR,-32.035,-52.0986,87.91,44,0,13.96,clear sky,2022-02-14 19:29:19
131,Fukue,JP,32.6881,128.8419,49.37,70,66,21.88,broken clouds,2022-02-14 19:29:19
132,Lichinga,MZ,-13.3128,35.2406,62.22,97,100,0.56,moderate rain,2022-02-14 19:29:19
133,San Cristobal,VE,7.7669,-72.225,78.98,43,100,2.37,overcast clouds,2022-02-14 19:29:20
134,Emba,KZ,48.8264,58.1442,-2.45,100,99,2.26,overcast clouds,2022-02-14 19:29:20
135,Praia,CV,14.9215,-23.5087,73.94,68,0,18.41,clear sky,2022-02-14 19:29:20
136,Susa,TN,35.8254,10.637,59.52,82,98,5.75,overcast clouds,2022-02-14 19:29:21
137,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,10.36,few clouds,2022-02-14 19:29:21
138,Phangnga,TH,8.4509,98.5298,82.81,95,79,3.4,broken clouds,2022-02-14 19:29:21
139,Tashara,RU,55.5195,83.5094,-0.76,100,99,3.91,overcast clouds,2022-02-14 19:29:22
140,Baran,IN,25.1,76.5167,62.78,29,26,7.52,scattered clouds,2022-02-14 19:29:22
141,Upernavik,GL,72.7868,-56.1549,-8.84,99,100,7.58,overcast clouds,2022-02-14 19:29:22
142,Iqaluit,CA,63.7506,-68.5145,-13.27,77,100,2.3,light snow,2022-02-14 19:29:23
143,Marathon,US,44.9,-89.7668,18.64,59,0,5.75,clear sky,2022-02-14 19:29:23
144,Broome,US,42.2506,-75.833,19.47,61,40,11.5,scattered clouds,2022-02-14 19:29:23
145,Hovd,MN,48.0056,91.6419,-10.53,88,100,0.58,overcast clouds,2022-02-14 19:29:24
146,Zabol,AF,32.25,67.25,40.48,66,6,8.9,clear sky,2022-02-14 19:29:24
147,Faanui,PF,-16.4833,-151.75,80.42,78,100,18.61,light rain,2022-02-14 19:29:24
148,Cherskiy,RU,68.75,161.3,-29.99,100,98,5.61,overcast clouds,2022-02-14 19:29:25
149,Te Anau,NZ,-45.4167,167.7167,50.94,78,100,1.05,overcast clouds,2022-02-14 19:29:25
150,Korla,CN,41.7597,86.1469,31.42,49,100,7.11,overcast clouds,2022-02-14 19:29:26
151,Margate,GB,51.3813,1.3862,44.89,83,48,3.0,scattered clouds,2022-02-14 19:29:26
152,Okhotsk,RU,59.3833,143.3,-8.01,73,96,16.02,overcast clouds,2022-02-14 19:29:26
153,Biltine,TD,14.5333,20.9167,79.95,13,100,9.04,overcast clouds,2022-02-14 19:29:26
154,Agadez,NE,19.75,10.25,69.21,10,0,8.28,clear sky,2022-02-14 19:29:27
155,Bud,US,39.447,-86.1758,31.42,56,8,5.46,clear sky,2022-02-14 19:29:27
156,Ribeira Grande,PT,38.5167,-28.7,61.2,82,40,5.75,scattered clouds,2022-02-14 19:29:27
157,Kenai,US,60.5544,-151.2583,25.09,93,100,8.05,overcast clouds,2022-02-14 19:29:28
158,Parrita,CR,9.5201,-84.3225,92.26,62,7,8.75,clear sky,2022-02-14 19:29:28
159,Talara,PE,-4.5772,-81.2719,86.76,48,0,17.27,clear sky,2022-02-14 19:29:28
160,Puerto Ayora,EC,-0.7393,-90.3518,80.55,89,97,5.99,overcast clouds,2022-02-14 19:29:29
161,Pevek,RU,69.7008,170.3133,-22.22,99,100,5.44,overcast clouds,2022-02-14 19:29:29
162,Petrovskaya,RU,45.4314,37.955,37.89,62,100,11.41,overcast clouds,2022-02-14 19:29:29
163,Kawalu,ID,-7.3817,108.2082,72.46,96,100,0.34,overcast clouds,2022-02-14 19:29:29
164,Masuguru,TZ,-11.3667,38.4167,73.27,96,100,4.16,light rain,2022-02-14 19:29:30
165,Popondetta,PG,-8.7537,148.2534,72.75,95,32,2.86,scattered clouds,2022-02-14 19:29:30
166,Pisco,PE,-13.7,-76.2167,80.65,57,0,9.22,clear sky,2022-02-14 19:29:30
167,Beloha,MG,-25.1667,45.05,77.76,68,0,4.59,clear sky,2022-02-14 19:29:31
168,New Norfolk,AU,-42.7826,147.0587,60.66,79,100,1.79,overcast clouds,2022-02-14 19:29:31
169,Tasiilaq,GL,65.6145,-37.6368,28.56,69,100,49.35,light snow,2022-02-14 19:29:31
170,Verkh-Usugli,RU,52.7,115.1667,-12.05,98,100,2.37,overcast clouds,2022-02-14 19:29:32
171,Troitskoye,RU,52.9821,84.6757,19.99,86,100,8.12,overcast clouds,2022-02-14 19:29:32
172,Katsuura,JP,35.1333,140.3,35.71,68,83,5.99,broken clouds,2022-02-14 19:29:32
173,Guerrero Negro,MX,27.9769,-114.0611,78.6,22,0,6.53,clear sky,2022-02-14 19:29:33
174,Pontal Do Parana,BR,-25.6533,-48.5128,96.46,71,50,7.47,scattered clouds,2022-02-14 19:29:33
175,Sretensk,RU,52.2453,117.7093,-11.49,100,100,1.68,overcast clouds,2022-02-14 19:29:33
176,Mahon,ES,39.8885,4.2658,50.56,81,20,5.75,few clouds,2022-02-14 19:29:34
177,Padang,ID,-0.9492,100.3543,76.8,83,96,4.45,overcast clouds,2022-02-14 19:29:34
178,Sobolevo,RU,54.4299,31.8996,26.37,90,22,12.21,few clouds,2022-02-14 19:29:34
179,Bethel,US,41.3712,-73.414,24.21,44,0,13.8,clear sky,2022-02-14 19:29:35
180,Mogzon,RU,51.7435,111.9606,-27.27,100,47,0.49,scattered clouds,2022-02-14 19:29:35
181,Nemuro,JP,43.3236,145.575,23.18,76,70,12.73,broken clouds,2022-02-14 19:29:35
182,Puerto Quijarro,BO,-17.7833,-57.7667,89.89,53,100,2.17,light rain,2022-02-14 19:29:36
183,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.2,60,0,8.05,clear sky,2022-02-14 19:29:36
184,Necochea,AR,-38.5473,-58.7368,87.15,29,5,4.09,clear sky,2022-02-14 19:29:36
185,Tilichiki,RU,60.4667,166.1,-19.5,92,100,10.76,overcast clouds,2022-02-14 19:29:37
186,Lagoa,PT,39.05,-27.9833,59.36,75,92,11.14,overcast clouds,2022-02-14 19:29:37
187,Omsukchan,RU,62.5333,155.8,-32.19,99,100,4.5,overcast clouds,2022-02-14 19:29:37
188,Avarua,CK,-21.2078,-159.775,78.85,83,100,8.05,overcast clouds,2022-02-14 19:27:53
189,Fort Nelson,CA,58.8053,-122.7002,-0.81,71,20,3.44,few clouds,2022-02-14 19:25:32
190,Alice Springs,AU,-23.7,133.8833,71.15,83,21,0.0,few clouds,2022-02-14 19:29:38
191,Hobyo,SO,5.3505,48.5268,77.16,66,100,20.33,overcast clouds,2022-02-14 19:29:38
192,Saint George,US,37.1041,-113.5841,68.47,20,0,0.0,clear sky,2022-02-14 19:29:38
193,Esperance,AU,-33.8667,121.9,62.44,77,24,11.52,few clouds,2022-02-14 19:29:39
194,Rusape,ZW,-18.5278,32.1284,67.96,62,90,7.52,overcast clouds,2022-02-14 19:29:39
195,Carutapera,BR,-1.195,-46.02,78.49,91,100,7.18,moderate rain,2022-02-14 19:29:39
196,Qaanaaq,GL,77.484,-69.3632,-1.28,98,100,8.39,light snow,2022-02-14 19:29:40
197,Codrington,AU,-38.2667,141.9667,55.62,86,1,9.22,clear sky,2022-02-14 19:29:40
198,Paramirim,BR,-13.4425,-42.2389,80.37,71,94,3.38,light rain,2022-02-14 19:29:40
199,Cuddapah,IN,14.4667,78.8167,69.82,84,7,6.08,clear sky,2022-02-14 19:29:41
200,San Quintin,MX,30.4833,-115.95,70.5,40,0,7.61,clear sky,2022-02-14 19:29:41
201,Cabedelo,BR,-6.9811,-34.8339,84.87,63,100,12.15,overcast clouds,2022-02-14 19:29:41
202,Airai,TL,-8.9266,125.4092,58.12,92,21,3.06,few clouds,2022-02-14 19:29:42
203,Robertsport,LR,6.7533,-11.3686,81.3,79,38,11.34,scattered clouds,2022-02-14 19:29:42
204,Sal Rei,CV,16.1833,-22.9167,72.16,83,75,16.11,broken clouds,2022-02-14 19:29:42
205,Kahului,US,20.8947,-156.47,75.22,64,20,6.91,few clouds,2022-02-14 19:29:43
206,Pyu,MM,18.4833,96.4333,64.4,30,85,6.6,overcast clouds,2022-02-14 19:29:43
207,Trinidad,BO,-14.8333,-64.9,87.78,58,40,4.61,scattered clouds,2022-02-14 19:29:43
208,Muravlenko,RU,63.7898,74.523,-6.23,100,100,6.64,overcast clouds,2022-02-14 19:29:43
209,Thurso,GB,58.5927,-3.5259,39.15,65,8,6.67,clear sky,2022-02-14 19:29:07
210,Waounde,SN,15.2637,-12.8682,86.04,12,43,10.11,scattered clouds,2022-02-14 19:25:17
211,Rudbar,AF,30.15,62.6,50.34,42,0,11.77,clear sky,2022-02-14 19:29:44
212,Yzeure,FR,46.5644,3.355,44.96,88,26,5.79,scattered clouds,2022-02-14 19:29:44
213,Iskateley,RU,67.6803,53.1512,9.03,89,100,17.96,overcast clouds,2022-02-14 19:29:45
214,Pangody,RU,65.85,74.4859,-16.67,100,95,7.31,overcast clouds,2022-02-14 19:29:45
215,Santiago,CL,-33.4569,-70.6483,88.29,33,0,13.8,clear sky,2022-02-14 19:27:09
216,Kloulklubed,PW,7.0419,134.2556,79.3,75,11,13.69,few clouds,2022-02-14 19:29:45
217,Inirida,CO,3.8653,-67.9239,91.94,48,100,0.67,overcast clouds,2022-02-14 19:29:46
218,Livny,RU,52.4253,37.6069,18.93,92,51,9.73,broken clouds,2022-02-14 19:29:46
219,Mar Del Plata,AR,-38.0023,-57.5575,77.02,84,0,13.0,clear sky,2022-02-14 19:27:38
220,Luderitz,NA,-26.6481,15.1594,70.47,77,1,6.71,clear sky,2022-02-14 19:29:46
221,Christchurch,NZ,-43.5333,172.6333,57.94,88,100,4.61,overcast clouds,2022-02-14 19:25:06
222,Prince Rupert,CA,54.3161,-130.3201,46.09,81,0,3.44,clear sky,2022-02-14 19:25:07
223,El Cobre,CU,20.0489,-75.9469,90.84,46,40,11.5,scattered clouds,2022-02-14 19:29:47
224,Mandal,IN,25.45,74.5667,60.13,34,0,3.15,clear sky,2022-02-14 19:29:47
225,Port Lincoln,AU,-34.7333,135.8667,63.79,81,100,14.61,overcast clouds,2022-02-14 19:29:48
226,Cayenne,GF,4.9333,-52.3333,78.1,90,75,7.0,broken clouds,2022-02-14 19:29:48
227,Camana,PE,-16.6228,-72.7111,74.84,70,15,8.57,few clouds,2022-02-14 19:29:48
228,Rio Cuarto,AR,-33.1307,-64.3499,88.66,29,0,11.5,clear sky,2022-02-14 19:29:48
229,Aripuana,BR,-9.1667,-60.6333,78.62,94,95,4.07,moderate rain,2022-02-14 19:29:49
230,Sitka,US,57.0531,-135.33,39.09,87,75,6.91,broken clouds,2022-02-14 19:29:49
231,Beringovskiy,RU,63.05,179.3167,-20.4,96,100,13.04,overcast clouds,2022-02-14 19:29:49
232,Hithadhoo,MV,-0.6,73.0833,82.27,71,92,11.3,overcast clouds,2022-02-14 19:29:50
233,Cabo San Lucas,MX,22.8909,-109.9124,90.7,47,0,10.36,clear sky,2022-02-14 19:25:56
234,Porto Real,BR,-22.4197,-44.2903,84.69,74,7,2.35,clear sky,2022-02-14 19:29:50
